id,name,team,war,games_played,complete_games,shutouts,games_started,wins,losses,saves,holds,innings_pitched,runs_allowed,earned_runs,batters_faced,hits_allowed,doubles_allowed,triples_allowed,home_runs_allowed,walks_allowed,hit_by_pitch,intentional_walks,strikeouts,balks,wild_pitches,era,fip,whip,era_plus,fip_plus,war_another_source,wpa,wOBA
12,한승혁,한화,0.11,16,0,0,3,0,1,0,1,24.1,14,14,110,29,5,0,2,11,0,1,19,0,3,5.18,4.36,1.64,78.2,92.9,0.11,-1.07,
13,이충호,한화,0.04,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,0,0,1,1,0,0,0.0,4.37,0.0,,92.5,0.04,0.0,
14,김기중,한화,-0.02,30,0,0,0,0,1,0,0,28.0,18,15,133,27,4,2,1,22,1,7,23,0,2,4.82,5.19,1.75,84.0,77.9,-0.02,0.22,
15,김규연,한화,-0.03,1,0,0,0,0,0,0,0,1.0,1,1,5,1,0,0,0,1,0,0,0,0,0,9.0,6.37,2.0,45.0,63.3,-0.03,-0.06,
16,스미스,한화,-0.05,1,0,0,1,0,0,0,0,2.2,2,2,12,3,0,0,0,0,0,1,2,0,0,6.75,3.0,1.13,60.0,134.6,-0.05,0.11,
17,송윤준,한화,-0.07,4,0,0,0,0,0,0,0,4.1,4,4,19,4,2,0,0,2,0,0,3,1,0,8.31,3.37,1.39,48.8,119.5,-0.07,-0.04,
18,장시환,한화,-0.07,5,0,0,0,0,1,0,0,4.1,3,3,24,8,3,0,0,4,1,1,3,0,0,6.23,4.76,2.77,65.0,85.0,-0.07,-0.61,
19,윤산흠,한화,-0.09,5,0,0,0,0,0,0,0,3.0,2,2,18,3,1,0,0,6,0,0,3,0,0,6.0,7.37,3.0,67.5,54.8,-0.09,-0.46,
20,장민재,한화,-0.13,11,0,0,11,2,5,0,0,51.2,33,26,224,56,10,1,10,14,0,5,40,0,4,4.53,5.44,1.36,89.4,74.7,-0.13,-0.42,
21,장지수,한화,-0.14,1,0,0,0,0,0,0,0,2.0,5,4,11,4,0,0,0,2,0,0,0,0,1,18.0,6.37,3.0,22.5,63.3,-0.14,-0.01,
22,김서현,한화,-0.18,18,0,0,0,0,0,1,0,17.2,13,11,82,16,3,1,1,13,1,5,23,1,2,5.6,4.39,1.64,72.3,92.3,-0.18,0.16,
23,김재영,한화,-0.21,3,0,0,0,0,0,0,0,4.0,5,5,20,5,1,1,1,2,0,1,3,0,0,11.25,7.37,1.75,36.0,55.2,-0.21,-0.29,
24,남지민,한화,-0.26,10,0,0,4,1,5,0,0,22.1,17,16,107,33,7,0,0,6,0,3,16,0,2,6.45,3.15,1.75,62.8,128.0,-0.26,-0.84,
25,김민우,한화,-1.06,12,0,0,12,1,6,0,0,51.2,43,40,243,65,16,2,6,28,0,2,43,0,5,6.97,4.96,1.8,58.1,81.8,-1.06,-1.61,
1,최지민,KIA,1.8,37,0,0,0,3,2,3,6,42.1,9,8,168,27,4,0,2,19,1,1,33,0,4,1.7,3.77,234.8,106.1,1.8,1.21,,1.09
2,임기영,KIA,1.49,33,0,0,0,1,1,2,7,51.0,16,15,203,36,7,1,1,13,1,5,39,0,1,2.65,3.1,150.9,129.6,1.49,0.94,,0.96
3,양현종,KIA,1.29,16,0,0,16,5,5,0,0,90.1,43,38,400,108,22,0,6,26,1,1,82,0,2,3.79,3.28,105.5,121.7,1.29,0.26,,1.48
4,이준영,KIA,1.25,38,0,0,0,1,0,0,7,23.0,3,3,102,18,2,0,0,15,2,0,22,0,1,1.17,3.16,340.2,126.9,1.25,0.36,,1.44
5,이의리,KIA,1.1,16,0,0,16,7,5,0,0,73.0,33,31,335,49,9,0,1,62,1,3,94,0,3,3.82,3.61,104.5,111.5,1.1,0.45,,1.52
6,윤영철,KIA,0.92,14,0,0,13,5,4,0,0,68.1,32,31,292,68,13,3,3,24,0,1,39,1,4,4.08,3.9,97.8,102.8,0.92,0.44,,1.35
7,정해영,KIA,0.67,24,0,0,0,3,1,7,1,21.2,8,7,95,25,1,0,3,7,0,1,11,0,0,2.91,5.27,137.4,75.8,0.67,0.1,,1.48
8,앤더슨,KIA,0.63,14,0,0,14,4,7,0,0,79.0,42,33,336,76,12,3,6,26,0,2,64,0,10,3.76,3.8,106.2,105.2,0.63,-0.03,,1.29
9,전상현,KIA,0.51,34,0,0,0,1,1,1,7,27.2,12,9,128,26,4,0,1,17,2,1,26,0,0,2.93,3.7,136.4,108.1,0.51,0.07,,1.55
10,김유신,KIA,0.43,12,0,0,0,0,1,0,1,13.1,4,4,61,15,1,0,1,8,0,1,3,0,0,2.7,5.92,147.9,67.7,0.43,-0.54,,1.73
11,산체스,KIA,0.35,1,0,0,1,1,0,0,0,6.1,1,1,23,5,1,0,1,0,0,0,10,0,0,1.42,2.27,281.1,173.9,0.35,0.24,,0.79
12,김기훈,KIA,0.28,22,0,0,0,2,0,0,0,25.0,12,10,120,21,4,1,0,29,1,2,20,0,3,3.6,5.37,110.9,74.8,0.28,-0.84,,2.0
13,장현식,KIA,0.14,28,0,0,0,1,2,3,3,24.1,13,10,113,25,1,0,2,18,0,0,22,0,1,3.7,4.85,108.0,82.5,0.14,-0.59,,1.77
14,김승현,KIA,0.11,1,0,0,0,0,0,0,0,2.2,0,0,11,0,0,0,0,3,0,1,2,0,0,0.0,6.37,,63.2,0.11,0.01,,1.13
15,유승철,KIA,0.03,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,1,0,0,0,0,0,0.0,6.37,,63.1,0.03,0.0,,1.0
16,김건국,KIA,0.03,2,0,0,2,0,0,0,0,3.1,2,2,16,3,0,1,0,2,0,1,2,0,0,5.4,4.87,74.0,82.7,0.03,-0.1,,1.5
17,파노니,KIA,0.02,1,0,0,1,0,0,0,0,4.0,2,2,17,4,2,0,0,1,0,0,2,0,0,4.5,3.12,88.8,128.8,0.02,-0.05,,1.25
18,박준표,KIA,-0.06,18,0,0,0,0,0,0,3,13.1,9,8,55,15,2,1,1,2,0,0,7,0,1,5.4,3.75,74.0,106.7,-0.06,-0.08,,1.28
19,곽도규,KIA,-0.12,6,0,0,0,0,0,0,0,5.0,5,5,26,5,1,0,0,6,0,0,7,0,1,9.0,4.17,44.4,96.5,-0.12,-0.1,,2.2
20,윤중현,KIA,-0.12,7,0,0,0,0,0,0,0,7.2,6,6,33,12,1,0,2,2,0,0,1,0,0,7.04,7.29,56.7,54.6,-0.12,0.2,,1.83
21,황동하,KIA,-0.14,8,0,0,1,0,2,0,0,12.1,9,7,57,10,3,0,1,11,0,0,8,0,0,5.11,5.81,78.2,69.0,-0.14,-0.36,,1.7
22,김대유,KIA,-0.18,19,0,0,0,0,2,0,2,13.0,10,10,57,11,0,1,2,5,1,5,16,0,0,6.92,4.99,57.7,79.8,-0.18,-0.57,,1.23
23,김재열,KIA,-0.19,3,0,0,0,0,0,0,0,6.0,6,6,33,9,2,0,0,6,0,0,4,0,0,9.0,5.04,44.4,79.9,-0.19,0.02,,2.5
24,메디나,KIA,-0.67,12,0,0,12,2,6,0,0,58.0,42,39,269,64,16,1,6,29,0,9,36,1,5,6.05,5.44,66.0,73.6,-0.67,-1.67,,1.6
1,안우진,키움,3.56,17,0,0,17,6,5,0,0,107.0,32,29,433,88,22,0,3,24,0,1,130,0,8,2.44,2.01,1.05,163.7,193.8,3.56,2.25,
2,최원태,키움,2.95,16,0,0,16,6,4,0,0,97.1,34,33,400,84,11,0,7,27,0,5,77,0,5,3.05,3.71,1.14,130.9,105.6,2.95,1.78,
3,후라도,키움,2.65,18,0,0,18,5,8,0,0,111.2,45,36,472,106,14,0,5,26,0,8,91,0,4,2.9,3.24,1.18,137.7,121.6,2.65,1.18,
4,임창민,키움,1.41,32,0,0,0,1,1,13,1,29.1,8,6,126,27,2,0,1,9,2,2,24,0,0,1.84,3.1,1.23,217.0,127.5,1.41,0.4,
5,김재웅,키움,1.06,38,0,0,0,1,3,5,12,34.0,13,13,140,32,5,0,1,11,1,0,24,0,0,3.44,3.23,1.27,116.1,122.7,1.06,1.42,
6,정찬헌,키움,1.01,11,1,0,11,2,5,0,0,59.1,27,26,231,49,6,3,4,8,1,2,29,0,0,3.94,3.73,0.96,101.3,105.7,1.01,0.57,
7,양현,키움,0.78,37,0,0,0,0,3,0,7,35.2,14,14,155,46,6,1,1,12,1,0,12,1,0,3.53,3.99,1.63,113.1,99.8,0.78,-0.54,
8,김성진,키움,0.74,34,0,0,0,1,0,0,5,30.1,11,11,134,25,3,0,1,19,1,1,20,0,0,3.26,4.36,1.45,122.4,91.0,0.74,0.23,
9,이명종,키움,0.47,20,0,0,0,4,2,0,0,24.2,10,9,110,28,4,0,1,8,0,3,14,0,0,3.28,4.1,1.46,121.6,96.7,0.47,-0.2,
10,맥키니,키움,0.43,4,0,0,4,1,3,0,0,20.0,8,8,86,20,8,0,0,9,0,0,12,0,3,3.6,3.52,1.45,110.9,113.4,0.43,0.16,
11,장재영,키움,0.42,9,0,0,7,1,2,0,0,30.0,15,13,135,28,5,0,1,23,0,0,30,1,4,3.9,4.11,1.7,102.4,96.2,0.42,-0.04,
12,문성현,키움,0.35,8,0,0,0,1,0,0,1,8.2,2,2,37,8,2,0,0,3,0,0,4,0,1,2.08,3.49,1.27,192.3,114.7,0.35,-0.04,
13,요키시,키움,0.32,12,0,0,12,5,3,0,0,65.2,37,32,286,82,14,1,3,14,1,3,51,0,1,4.39,3.14,1.46,91.1,125.2,0.32,-0.13,
14,윤정현,키움,0.13,5,0,0,0,0,0,0,0,6.0,2,1,26,5,0,0,0,6,0,0,2,0,1,1.5,5.71,1.83,266.3,70.2,0.13,-0.12,
15,이승호,키움,0.09,4,0,0,1,0,0,0,1,5.0,3,3,24,5,3,0,1,4,0,0,1,0,0,5.4,7.97,1.8,74.0,49.1,0.09,-0.05,
16,윤석원,키움,0.04,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,0,0,0,0,0,1,0.0,3.37,0.0,,119.3,0.04,0.0,
17,박승주,키움,-0.01,2,0,0,0,0,0,0,0,1.0,1,0,8,2,0,0,0,2,0,0,0,0,0,0.0,9.37,4.0,,42.7,-0.01,-0.03,
18,김준형,키움,-0.05,8,0,0,0,0,0,0,0,7.2,6,6,36,4,3,0,0,6,0,3,5,0,0,7.04,5.59,1.3,56.7,71.7,-0.05,-0.03,
19,김선기,키움,-0.11,9,0,0,0,0,0,1,0,9.2,8,6,45,12,5,0,0,4,0,0,9,0,0,5.59,2.75,1.66,71.5,144.4,-0.11,0.31,
20,이종민,키움,-0.12,2,0,0,0,0,0,0,0,1.0,3,3,9,4,1,0,0,2,0,0,1,0,0,27.0,7.37,6.0,14.8,54.1,-0.12,-0.02,
21,김건희,키움,-0.19,3,0,0,0,0,0,0,0,2.0,5,5,14,6,0,0,2,2,0,0,0,0,0,22.5,19.37,4.0,17.8,19.8,-0.19,0.0,
22,김태훈,키움,-0.2,8,0,0,0,1,0,0,3,7.2,6,5,38,9,1,1,1,6,1,0,4,0,0,5.87,5.98,1.96,68.0,65.7,-0.2,-0.28,
23,김동혁,키움,-0.39,24,0,0,0,0,4,0,5,27.0,21,21,124,34,7,1,1,7,0,4,19,1,0,7.0,3.67,1.52,57.1,107.9,-0.39,-0.52,
24,하영민,키움,-0.43,34,0,0,0,2,1,0,2,28.2,21,17,136,40,5,3,4,14,1,1,28,0,2,5.34,4.7,1.88,74.8,82.6,-0.43,-0.98,
25,이영준,키움,-0.44,2,0,0,0,0,1,0,0,1.2,4,4,10,4,0,0,0,1,0,0,0,0,1,21.6,5.17,3.0,18.5,77.6,-0.44,-0.46,
26,변시원,키움,-0.54,3,0,0,0,0,0,0,0,2.0,9,9,15,6,2,0,1,1,0,2,1,0,0,40.5,13.37,3.5,9.9,29.0,-0.54,-0.24,
27,원종현,키움,-0.69,20,0,0,0,1,1,0,6,18.2,16,12,87,24,8,1,3,5,1,1,17,0,2,5.79,4.44,1.55,69.0,86.9,-0.69,-0.53,
1,고영표,KT,3.19,17,0,0,16,8,5,0,0,103.2,34,32,417,100,12,3,5,9,1,6,73,0,3,2.78,3.0,1.05,146.7,134.1,3.19,1.89,
2,김재윤,KT,1.69,30,0,0,0,3,2,14,0,33.2,8,6,133,21,2,0,1,8,3,1,32,0,2,1.6,2.39,0.86,254.0,169.5,1.69,1.52,
3,박영현,KT,1.63,41,0,0,0,2,2,1,16,44.1,13,11,177,31,5,2,2,13,2,2,48,2,0,2.23,2.67,0.99,182.5,151.0,1.63,1.35,
4,엄상백,KT,1.22,14,0,0,13,3,6,0,0,73.1,32,31,303,68,11,3,1,21,0,0,60,0,1,3.8,2.77,1.21,107.1,145.5,1.22,0.35,
5,배제성,KT,0.56,14,0,0,12,3,6,0,0,69.0,37,32,312,74,10,1,3,36,0,0,47,1,4,4.17,4.14,1.59,97.6,97.0,0.56,-0.42,
6,쿠에바스,KT,0.48,5,0,0,5,2,0,0,0,28.1,13,13,119,28,3,0,0,8,1,0,23,0,3,4.13,2.49,1.27,98.7,162.7,0.48,-0.15,
7,손동현,KT,0.41,35,0,0,0,3,4,1,4,38.1,19,19,162,43,6,0,4,9,1,2,20,0,1,4.46,4.47,1.36,91.3,89.5,0.41,-0.09,
8,이선우,KT,0.39,19,0,0,2,0,1,0,0,28.1,11,10,123,30,4,0,4,6,0,2,22,0,0,3.18,4.5,1.27,128.3,88.7,0.39,-0.16,
9,벤자민,KT,0.27,17,0,0,17,9,3,0,0,93.0,55,43,409,94,16,0,12,31,1,2,97,0,3,4.16,4.0,1.34,97.9,100.2,0.27,-0.91,
10,주권,KT,0.26,23,0,0,1,1,1,0,2,25.2,13,13,108,22,4,0,2,11,0,2,10,0,0,4.56,5.13,1.29,89.4,78.0,0.26,-0.49,
11,전용주,KT,0.11,15,0,0,0,0,1,0,1,10.1,5,5,43,6,4,0,0,6,0,1,9,0,4,4.35,3.66,1.16,93.6,109.8,0.11,0.04,
12,김정운,KT,0.04,2,0,0,0,0,0,0,0,2.2,1,1,16,2,1,0,0,4,0,2,2,0,0,3.38,8.62,2.25,120.7,46.3,0.04,0.0,
13,조현우,KT,0.01,5,0,0,0,0,0,0,0,3.0,2,2,17,6,1,0,0,2,0,0,1,0,1,6.0,4.71,2.67,67.9,85.4,0.01,0.01,
14,박세진,KT,-0.06,11,0,0,0,0,1,0,1,7.2,6,4,46,12,1,0,1,8,0,0,8,0,1,4.7,6.11,2.61,86.8,65.5,-0.06,-0.23,
15,김태오,KT,-0.09,5,0,0,0,0,0,0,0,7.1,6,6,35,10,3,0,0,4,1,0,3,0,0,7.36,3.78,1.91,55.3,106.9,-0.09,0.11,
16,이상동,KT,-0.11,14,0,0,0,2,0,0,0,14.0,10,10,67,17,4,0,3,9,2,0,12,0,1,6.43,5.94,1.86,63.4,67.3,-0.11,0.21,
17,슐서,KT,-0.11,9,0,0,9,1,7,0,0,49.2,32,31,221,66,9,1,6,14,1,0,35,0,2,5.62,4.32,1.61,72.5,92.6,-0.11,-0.89,
18,이채호,KT,-0.12,17,0,0,0,0,0,0,1,14.2,12,12,68,18,4,0,5,5,0,1,4,0,1,7.36,8.49,1.57,55.3,46.8,-0.12,-0.31,
19,김민,KT,-0.17,9,0,0,0,0,0,0,0,9.2,9,8,52,16,1,0,2,7,0,2,6,0,3,7.45,7.61,2.38,54.7,52.3,-0.17,-0.39,
20,김민수,KT,-0.18,13,0,0,0,0,1,0,3,11.2,10,10,53,15,5,2,1,5,0,0,4,0,0,7.71,5.09,1.71,52.8,78.7,-0.18,-0.15,
21,심재민,KT,-0.25,4,0,0,0,0,0,0,0,2.0,5,5,16,8,1,0,0,2,0,0,1,0,0,22.5,5.37,5.0,18.1,74.8,-0.25,-0.12,
22,김영현,KT,-0.28,16,0,0,0,0,0,0,0,15.2,13,12,75,17,6,0,0,12,1,0,18,0,2,6.89,3.18,1.85,59.1,127.3,-0.28,-0.35,
23,조이현,KT,-0.42,8,0,0,2,0,1,0,0,18.0,19,18,95,37,10,1,2,3,0,1,11,1,0,9.0,4.26,2.22,45.3,93.8,-0.42,-0.33,
24,소형준,KT,-0.55,3,0,0,3,0,0,0,0,11.0,14,14,59,22,4,0,1,3,0,3,4,0,2,11.45,5.46,2.27,35.6,73.0,-0.55,-0.52,
1,플럿코,LG,3.4,17,0,0,17,11,1,0,0,102.0,28,25,417,91,19,3,4,21,0,3,82,0,1,2.21,2.98,1.1,179.1,132.9,3.4,1.77,
2,함덕주,LG,2.1,42,0,0,0,3,0,3,12,42.1,8,6,164,22,5,0,1,15,1,1,44,0,0,1.28,2.66,0.87,309.6,149.7,2.1,1.86,
3,임찬규,LG,1.58,17,0,0,13,6,2,0,1,79.0,32,28,333,69,6,1,5,29,0,1,55,0,1,3.19,3.94,1.24,123.8,99.9,1.58,0.99,
4,김진성,LG,1.14,41,0,0,0,2,1,0,7,36.2,11,11,145,20,4,0,4,16,0,0,37,0,0,2.7,4.08,0.98,146.3,95.3,1.14,0.38,
5,박명근,LG,0.75,36,0,0,1,4,0,5,5,36.0,15,13,157,29,6,1,0,17,2,5,29,0,0,3.25,3.43,1.28,121.5,117.4,0.75,0.93,
6,고우석,LG,0.71,20,0,0,0,2,3,7,0,19.1,6,6,83,15,3,0,1,13,0,0,30,0,2,2.79,2.96,1.45,141.4,133.4,0.71,0.18,
7,유영찬,LG,0.65,32,0,0,0,4,1,0,4,36.0,15,15,160,27,6,1,1,24,0,4,29,0,6,3.75,4.46,1.42,105.3,89.5,0.65,0.31,
8,이우찬,LG,0.56,18,0,0,0,1,1,0,2,20.2,6,6,84,20,2,0,1,10,0,1,12,1,2,2.61,4.44,1.45,151.2,89.3,0.56,0.25,
9,최동환,LG,0.54,22,0,0,0,0,0,0,0,21.1,6,6,91,16,6,0,1,7,0,3,14,0,0,2.53,4.08,1.08,156.0,97.2,0.54,-0.14,
10,백승현,LG,0.37,9,0,0,0,0,0,1,1,8.2,2,2,32,4,0,0,0,2,0,0,10,0,0,2.08,1.76,0.69,190.2,230.5,0.37,0.78,
11,켈리,LG,0.21,18,0,0,18,6,5,0,0,107.1,61,53,458,115,21,2,6,26,0,4,71,0,4,4.44,3.62,1.31,88.9,109.1,0.21,-0.68,
12,이상규,LG,0.17,7,0,0,0,0,0,0,0,6.2,2,2,31,7,0,0,0,5,0,0,5,0,1,2.7,4.12,1.8,146.3,97.5,0.17,0.17,
13,송은범,LG,0.1,4,0,0,0,0,0,0,0,3.2,1,1,17,6,0,0,0,3,0,0,2,0,0,2.45,4.74,2.46,160.9,84.8,0.1,-0.1,
14,진해수,LG,0.09,19,0,0,0,0,0,0,2,14.2,8,5,72,18,3,0,2,10,0,0,12,0,3,3.07,5.56,1.91,128.7,70.1,0.09,-0.44,
15,오석주,LG,0.04,3,0,0,0,0,0,0,0,4.0,2,2,15,4,1,0,1,0,0,0,4,0,0,4.5,4.62,1.0,87.8,81.3,0.04,0.04,
16,송승기,LG,0.04,1,0,0,0,0,0,0,0,1.0,0,0,5,1,0,0,0,1,0,0,0,0,0,0.0,6.37,2.0,,62.9,0.04,0.0,
17,채지선,LG,0.02,1,0,0,0,0,0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,3.37,0.0,,119.3,0.02,0.0,
18,김윤식,LG,-0.01,11,0,0,11,3,4,0,0,49.1,29,29,220,61,8,2,4,20,0,2,30,0,3,5.29,4.55,1.64,74.7,86.3,-0.01,-0.46,
19,성동현,LG,-0.02,1,0,0,0,0,0,0,0,1.0,1,1,6,2,0,0,0,1,0,0,1,0,0,9.0,4.37,3.0,43.9,91.9,-0.02,-0.0,
20,김영준,LG,-0.05,1,0,0,0,1,0,0,0,0.1,1,1,3,1,0,0,0,1,0,0,0,0,0,27.0,12.37,6.0,14.6,32.4,-0.05,-0.03,
21,배재준,LG,-0.06,1,0,0,0,0,0,0,0,1.0,2,2,6,2,0,1,0,1,0,0,0,0,1,18.0,6.37,3.0,21.9,62.9,-0.06,-0.0,
22,김동규,LG,-0.09,1,0,0,0,0,0,0,0,0.1,2,1,6,0,0,0,0,3,0,1,0,0,0,27.0,39.37,9.0,14.6,10.2,-0.09,-0.01,
23,김대현,LG,-0.09,2,0,0,0,0,0,0,0,2.0,3,2,14,6,1,0,1,0,0,1,1,0,1,9.0,10.37,3.0,43.9,36.3,-0.09,-0.03,
24,이민호,LG,-0.18,5,0,0,5,0,2,0,0,19.2,13,11,91,22,4,0,1,10,0,0,7,0,0,5.03,4.85,1.63,78.5,81.7,-0.18,-0.43,
25,이상영,LG,-0.19,2,0,0,2,0,1,0,0,5.1,5,4,29,6,3,0,0,5,0,2,2,0,0,6.75,6.56,2.06,58.5,61.1,-0.19,-0.19,
